"scenario","replicate","total_est","total_se","direct_est","direct_se","apparent_est","apparent_se","total_true","direct_true","apparent_true","residual_true","hidden_true"
"Direct only",20,0.0385648723913285,0.00139055076188411,0.0375434590884251,0.00161132978468607,0.00102141330290346,0.000751847488072779,0.04,0.04,0,0,0
"Direct only",21,0.0434478510160873,0.00138853505494044,0.0447829033941683,0.00154556866422626,-0.00133505237808097,0.000822905467304261,0.04,0.04,0,0,0
"Direct only",22,0.039282927435489,0.00136308006499402,0.0397401903374671,0.00160561303651248,-0.000457262901978128,0.000901850556007001,0.04,0.04,0,0,0
"Direct only",23,0.0378746408137803,0.00135939656400927,0.0374609796479441,0.00159135613698385,0.000413661165836191,0.0009699355088709,0.04,0.04,0,0,0
"Direct only",24,0.0415525874130696,0.00134676484907302,0.041101661963996,0.00151915916237933,0.000450925449073674,0.000793303199643634,0.04,0.04,0,0,0
"Direct only",25,0.0421031969234828,0.00142327253373651,0.0414761319437122,0.00156941107961814,0.000627064979770585,0.000788627141788255,0.04,0.04,0,0,0
"Direct only",26,0.040027450059855,0.00142766348113002,0.0396306313990375,0.00158926714380609,0.000396818660817444,0.000772305574879035,0.04,0.04,0,0,0
"Direct only",27,0.0393174018273737,0.00141224401754065,0.039519901475447,0.0015844214284883,-0.000202499648073312,0.000824698783471311,0.04,0.04,0,0,0
"Direct only",28,0.0371724911495141,0.00140876057004868,0.035040477999949,0.00166919053798938,0.00213201314956518,0.000896645399214805,0.04,0.04,0,0,0
"Direct only",29,0.0414023741640025,0.00139451071942719,0.0406521444386159,0.0015538410543336,0.000750229725386631,0.000739544213571599,0.04,0.04,0,0,0
"Direct only",30,0.0398276469855901,0.00148070352570771,0.0385141456730242,0.00167041095599434,0.00131350131256592,0.000789249318974957,0.04,0.04,0,0,0
"Direct only",31,0.0392663573814715,0.00137777484277378,0.0388242055370052,0.00145939174333697,0.000442151844466234,0.000839070762616584,0.04,0.04,0,0,0
"Direct only",32,0.0391674250266725,0.00133216545600028,0.0388099582246144,0.00153289446689476,0.000357466802058091,0.00080917826271137,0.04,0.04,0,0,0
"Direct only",33,0.0417277516542213,0.00144774060542944,0.0415476082863512,0.00147946976552229,0.00018014336787006,0.000781970942286619,0.04,0.04,0,0,0
"Direct only",34,0.0394315641660243,0.00137611187216551,0.0400232329615282,0.00156432858432742,-0.000591668795503882,0.000835594925565527,0.04,0.04,0,0,0
"Direct only",35,0.0421984832829464,0.00136236418669935,0.0419555785004691,0.00153197144475281,0.000242904782477291,0.000696151234458179,0.04,0.04,0,0,0
"Direct only",36,0.0403280910762354,0.00129862688004497,0.0395172291684079,0.00150156337329452,0.000810861907827472,0.000779373758407655,0.04,0.04,0,0,0
"Direct only",37,0.0392678788741431,0.00135669438191559,0.0410493785016171,0.00157474579856112,-0.001781499627474,0.000753875267031636,0.04,0.04,0,0,0
"Direct only",38,0.0398908955250545,0.00144756180445843,0.0396040046535867,0.00160938827817344,0.000286890871467861,0.000813665311523803,0.04,0.04,0,0,0
"Direct only",39,0.0406419048139302,0.00133053316634286,0.0401426577905684,0.00144524858478005,0.000499247023361767,0.00076411123144527,0.04,0.04,0,0,0
"Direct only",40,0.040171250699163,0.00147680301864214,0.0403432024941329,0.00166267963816095,-0.000171951794969872,0.000707288921936442,0.04,0.04,0,0,0
"Apparent only",1,0.0199230987755437,0.00137359918121942,0.00265833831708458,0.00290132174558257,0.0172647604584592,0.00266396258014094,0.0199,0,0.0199,0.0199,0
"Apparent only",2,0.0205819353381889,0.00117609183878779,-0.000849372468566792,0.0028877581512195,0.0214313078067557,0.00263402384211448,0.0199,0,0.0199,0.0199,0
"Apparent only",3,0.0159568221081258,0.00131772205273575,-0.00871428535209218,0.00270825597497287,0.0246711074602179,0.00235829980828053,0.0199,0,0.0199,0.0199,0
"Apparent only",4,0.0204279088516176,0.00122251655271057,-0.00148900200612915,0.00264938549160092,0.0219169108577467,0.00237202586863998,0.0199,0,0.0199,0.0199,0
"Apparent only",5,0.0171272268793899,0.00135126332075802,0.00147602844590697,0.00276378849775374,0.0156511984334829,0.00247991972709482,0.0199,0,0.0199,0.0199,0
"Apparent only",6,0.0193492819434476,0.0014746932190009,-0.00940008127117447,0.00294844993882558,0.028749363214622,0.00250272241803658,0.0199,0,0.0199,0.0199,0
"Apparent only",7,0.0209858832198698,0.00131712500795463,0.00411366843935566,0.00274705595499771,0.0168722147805142,0.00242602339303003,0.0199,0,0.0199,0.0199,0
"Apparent only",8,0.0194658338050893,0.00132290111318242,0.000249938137292481,0.00270864606716373,0.0192158956677968,0.00235449707188046,0.0199,0,0.0199,0.0199,0
"Apparent only",9,0.0216443853975608,0.00133381733586209,0.00461323308378585,0.00279558902769161,0.017031152313775,0.00239994120978438,0.0199,0,0.0199,0.0199,0
"Apparent only",10,0.017002364794412,0.00130037966913071,0.000796666563677395,0.00263922794911554,0.0162056982307347,0.0022608944621925,0.0199,0,0.0199,0.0199,0
"Apparent only",11,0.0200728920740304,0.00139342424334745,-0.000188336299910172,0.00273335708959837,0.0202612283739406,0.00246375432370866,0.0199,0,0.0199,0.0199,0
"Apparent only",12,0.0207886290519569,0.00138475772698031,-0.00220651240347792,0.0031805226012846,0.0229951414554348,0.00290088847505981,0.0199,0,0.0199,0.0199,0
"Apparent only",13,0.0204897263933185,0.00135008758080742,0.00438906276297684,0.00268504806775478,0.0161006636303416,0.00232434030061696,0.0199,0,0.0199,0.0199,0
"Apparent only",14,0.0190675458403765,0.00130402553913515,0.00166516626202044,0.00268225641478131,0.0174023795783561,0.00228655423798951,0.0199,0,0.0199,0.0199,0
"Apparent only",15,0.0210541744377942,0.00141372959317734,-0.00354373685275597,0.0029773169598497,0.0245979112905501,0.00266256207055529,0.0199,0,0.0199,0.0199,0
"Apparent only",16,0.0199766240622719,0.00131609423671023,-0.00769049408349544,0.00295802483324723,0.0276671181457674,0.0026273111493636,0.0199,0,0.0199,0.0199,0
"Apparent only",17,0.0188366817675096,0.00127577269555579,-0.0050699273250301,0.00264645120939615,0.0239066090925396,0.00242259257575267,0.0199,0,0.0199,0.0199,0
"Apparent only",18,0.0192426497900974,0.00134239237186933,0.00194743682762047,0.0028985525068598,0.0172952129624769,0.00255306068540766,0.0199,0,0.0199,0.0199,0
"Apparent only",19,0.0195201533465393,0.00128646047514493,0.00335920599065609,0.00263176784494455,0.0161609473558832,0.00231399194656696,0.0199,0,0.0199,0.0199,0
"Apparent only",20,0.0218753777722075,0.00139282301825027,0.000783421520005223,0.00271814167581676,0.0210919562522023,0.00238246677913154,0.0199,0,0.0199,0.0199,0
"Apparent only",21,0.0195416131663055,0.00133808899835944,-0.00385608485107231,0.00304089794349757,0.0233976980173778,0.00271904943634262,0.0199,0,0.0199,0.0199,0
"Apparent only",22,0.0199710409448484,0.0013867246627562,0.00144966662913034,0.00283695257968481,0.0185213743157181,0.00255287060825809,0.0199,0,0.0199,0.0199,0
"Apparent only",23,0.0186288534332217,0.0013837813861994,-0.00445513738991301,0.0029273056727429,0.0230839908231347,0.0025787267897254,0.0199,0,0.0199,0.0199,0
"Apparent only",24,0.0200008537202496,0.00135776729418715,0.0073775313541944,0.00285665473675927,0.0126233223660552,0.00247784785391705,0.0199,0,0.0199,0.0199,0
"Apparent only",25,0.0211403546601342,0.00128300663947185,-0.0013026857821576,0.00281438732834959,0.0224430404422918,0.00260035292651895,0.0199,0,0.0199,0.0199,0
"Apparent only",26,0.0194638157226162,0.00141060665284952,-0.00249738655191751,0.00294447580479139,0.0219612022745337,0.00255010990804278,0.0199,0,0.0199,0.0199,0
"Apparent only",27,0.0175844220605347,0.00138932636936773,-0.00777566943983678,0.00277689988839755,0.0253600915003714,0.00236407861716863,0.0199,0,0.0199,0.0199,0
"Apparent only",28,0.019807067937479,0.00139786683415832,-0.000137946948036755,0.00284825805662027,0.0199450148855158,0.00251738733376861,0.0199,0,0.0199,0.0199,0
"Apparent only",29,0.0195300726446681,0.00138414668588784,-0.00390085509943033,0.00269960294806917,0.0234309277440984,0.00234468215353782,0.0199,0,0.0199,0.0199,0
"Apparent only",30,0.0221375858921905,0.00142274398988394,0.00453402070326561,0.00273560392979115,0.0176035651889248,0.00246519201235478,0.0199,0,0.0199,0.0199,0
"Apparent only",31,0.0209142163671989,0.00143239877905133,0.000650234657449578,0.00274456076508507,0.0202639817097493,0.00250745290832423,0.0199,0,0.0199,0.0199,0
"Apparent only",32,0.0178972271866104,0.00137287341197547,0.00197312718286358,0.00269823820621437,0.0159241000037468,0.00240781726946641,0.0199,0,0.0199,0.0199,0
"Apparent only",33,0.0195764132405499,0.00140105619531985,-0.000126509835559448,0.00284019448876311,0.0197029230761094,0.0024949560411112,0.0199,0,0.0199,0.0199,0
"Apparent only",34,0.020248101070753,0.00134108234368637,-0.00300263692520823,0.00266511559178412,0.0232507379959613,0.00236060759735168,0.0199,0,0.0199,0.0199,0
"Apparent only",35,0.0198697135842338,0.00133649323329602,-0.000521901842976187,0.00290418835377443,0.02039161542721,0.00263990831425018,0.0199,0,0.0199,0.0199,0
"Apparent only",36,0.0175660534086613,0.00140865541368808,-0.00613343729778667,0.00304564166439749,0.0236994907064479,0.00277335326256721,0.0199,0,0.0199,0.0199,0
"Apparent only",37,0.0200172824288873,0.00143646684501973,-0.000954225293387951,0.00270072825636696,0.0209715077222752,0.00235560785577615,0.0199,0,0.0199,0.0199,0
"Apparent only",38,0.0209950683388144,0.00143101334762266,-0.00161713759262856,0.0027102687522123,0.022612205931443,0.00237432956802195,0.0199,0,0.0199,0.0199,0
"Apparent only",39,0.0201158437845272,0.0013711629987291,0.0029880161582368,0.00295730697669477,0.0171278276262904,0.0025788783313455,0.0199,0,0.0199,0.0199,0
"Apparent only",40,0.0186596442718831,0.00125774188992089,0.00148217997235029,0.00266192989817673,0.0171774642995327,0.00236304566001312,0.0199,0,0.0199,0.0199,0
